Filename, MSE, MAE, PSNR
scarf128_b7_a5_50_100_0.15_rec.png, 105.3865, 125.3713, 27.9030
scarf128_canny_140_150_5_0.181_rec.png, 105.7301, 126.2043, 27.8888
scarf128_canny_60_70_5_0.194_jacobi.png, 108.0361, 125.9221, 27.7951
scarf128_canny_70_80_0.108_rec.png, 104.8916, 127.9336, 27.9234
scarf128_b7_a5_50_100_0.15_jacobi.png, 107.5361, 124.6902, 27.8153
scarf128_canny_60_70_5_0.194_rec.png, 105.7529, 126.1733, 27.8879
scarf128_canny_170_180_5_0.173_rec.png, 105.4050, 126.1702, 27.9022
scarf128_canny_150_160_0.144_rec.png, 105.4046, 125.3878, 27.9022
scarf128_canny_60_70_0.115_rec.png, 105.3659, 127.5611, 27.9038
scarf128_canny_100_110_5_0.188_rec.png, 105.8882, 126.1427, 27.8823
scarf128_canny_50_60_0.123_rec.png, 105.4324, 126.3080, 27.9011
